Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0019319319319319318,1.6374213982936286e-05,0.0016374213982936286,0.007913233572933583,0.00010983861560054419
0.001941941941941942,1.653296885436274e-05,0.001653296885436274,0.007945761641577502,0.00011149356743781773
0.001951951951951952,1.6692374617752237e-05,0.0016692374617752236,0.007978208738232751,0.00011316447580796309
0.001961961961961962,1.685242963009196e-05,0.001685242963009196,0.008010574960203574,0.0001148514057008652
0.001971971971971972,1.701313224836911e-05,0.0017013132248369111,0.00804286040479421,0.00011655442194194321
0.001981981981981982,1.7174480829570863e-05,0.0017174480829570864,0.008075065169308901,0.00011827358919215048
0.001991991991991992,1.733647373068441e-05,0.0017336473730684408,0.008107189351051888,0.00012000897194797473
0.002002002002002002,1.7499109308696937e-05,0.0017499109308696937,0.008139233047327415,0.00012176063454143791
0.002012012012012012,1.766238592059564e-05,0.001766238592059564,0.008171196355439721,0.00012352864114009612
0.002022022022022022,1.782630192336769e-05,0.001782630192336769,0.008203079372693049,0.0001253130557470398
0.002032032032032032,1.7990855674000296e-05,0.0017990855674000295,0.00823488219639164,0.0001271139422008937
0.002042042042042042,1.815604552948063e-05,0.0018156045529480632,0.008266604923839734,0.0001289313641758167
0.002052052052052052,1.832186984679588e-05,0.001832186984679588,0.008298247652341575,0.00013076538518150195
0.002062062062062062,1.8488326982933246e-05,0.0018488326982933245,0.008329810479201406,0.00013261606856317698
0.002072072072072072,1.8655415294879906e-05,0.0018655415294879906,0.008361293501723465,0.00013448347750160338
0.002082082082082082,1.8823133139623044e-05,0.0018823133139623043,0.008392696817211994,0.00013636767501307715
0.002092092092092092,1.899147887414986e-05,0.001899147887414986,0.008424020522971237,0.00013826872394942852
0.002102102102102102,1.9160450855447532e-05,0.0019160450855447533,0.008455264716305432,0.00014018668699802183
0.002112112112112112,1.9330047440503247e-05,0.0019330047440503247,0.008486429494518824,0.00014212162668175588
0.002122122122122122,1.9500266986304202e-05,0.0019500266986304203,0.008517514954915652,0.00014407360535906365
0.002132132132132132,1.967110784983758e-05,0.001967110784983758,0.00854852119480016,0.0001460426852239122
0.002142142142142142,1.984256838809056e-05,0.001984256838809056,0.008579448311476588,0.00014802892830580316
0.002152152152152152,2.0014646958050343e-05,0.0020014646958050344,0.008610296402249178,0.00015003239646977216
0.002162162162162162,2.0187341916704112e-05,0.002018734191670411,0.008641065564422172,0.00015205315141638917
0.002172172172172172,2.036065162103905e-05,0.002036065162103905,0.00867175589529981,0.00015409125468175846
0.002182182182182182,2.0534574428042354e-05,0.0020534574428042354,0.008702367492186334,0.00015614676763751846
0.002192192192192192,2.0709108694701204e-05,0.0020709108694701205,0.008732900452385988,0.00015821975149084194
