pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_fitness,best_gen_idx
run_2025-08-22_19-30-26,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,21,2,21,21,23,37.35402933294375,99
run_2025-08-22_19-30-26,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,11,17,11,11,11,37.35402933294375,99
run_2025-08-22_19-30-26,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,24,2,24,24,26,37.35402933294379,99
run_2025-08-22_19-30-26,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,16,23,16,16,18,37.35402933294375,99
run_2025-08-22_19-30-26,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,10,16,10,10,10,37.35402933294375,99
run_2025-08-22_19-30-26,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,10,23,10,10,12,37.35402933294375,99
run_2025-08-22_19-30-26,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,9,15,9,9,9,37.35402933294375,99
run_2025-08-22_19-30-26,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,14,20,14,14,14,37.35402933294375,99
run_2025-08-22_19-30-26,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,16,22,16,16,23,38.5189038855434,99
run_2025-08-22_19-30-26,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,2,16,2,2,2,37.35402933294375,99
run_2025-08-22_19-30-26,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,14,0,14,14,14,37.38888331705508,99
run_2025-08-22_21-09-24,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,7,20,7,7,7,37.35402933294375,99
run_2025-08-22_21-09-24,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,26,6,26,26,7,38.62046726902093,99
run_2025-08-22_21-09-24,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,31,17,31,31,31,37.35402933294375,99
run_2025-08-22_21-09-24,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,10,11,16,16,10,50.86900424344032,99
run_2025-08-22_21-09-24,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,0,17,0,0,2,37.35402933294379,99
run_2025-08-22_21-09-24,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,16,22,16,16,16,37.35402933294375,99
