,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_10,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
129,run_2025-08-29_14-44-12,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,11,1,31,10,11,16,26,17,1,16,80.13127376050605,19,function_IEEE_30
130,run_2025-08-29_14-44-12,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,31,9,3,26,31,28,3,26,25,14,92.392785348302,15,function_IEEE_30
131,run_2025-08-29_14-44-12,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,3,16,3,19,3,19,3,3,10,21,73.06558769841936,13,function_IEEE_30
132,run_2025-08-29_14-44-12,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,14,15,8,31,31,31,24,31,2,31,71.39688765768912,12,function_IEEE_30
133,run_2025-08-29_14-44-12,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,8,3,15,8,2,22,21,2,2,7,81.44583189661856,17,function_IEEE_30
134,run_2025-08-29_14-44-12,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,25,26,29,25,25,20,31,25,24,10,80.18576770428342,19,function_IEEE_30
135,run_2025-08-29_14-44-12,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,0,14,3,0,19,6,3,25,31,31,90.61505075197732,9,function_IEEE_30
136,run_2025-08-29_15-03-54,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,30,6,2,4,17,23,2,4,30,2,89.31863232503748,13,function_IEEE_30
137,run_2025-08-29_15-03-54,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,22,23,5,22,29,18,23,1,5,22,85.15060400596124,19,function_IEEE_30
138,run_2025-08-29_15-03-54,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,5,27,6,6,6,15,6,0,0,20,76.96367567049279,15,function_IEEE_30
139,run_2025-08-29_15-03-54,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,15,7,30,4,21,23,7,21,30,4,81.51582784301205,13,function_IEEE_30
140,run_2025-08-29_15-03-54,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,12,13,7,20,7,22,7,20,31,0,74.30036657653909,12,function_IEEE_30
141,run_2025-08-29_15-03-54,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,11,2,25,30,17,11,2,9,4,3,101.2003392277212,5,function_IEEE_30
142,run_2025-08-29_15-03-54,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,0,6,0,0,21,23,30,0,30,16,70.80993599454636,19,function_IEEE_30
143,run_2025-08-29_15-03-54,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,29,11,25,31,31,20,20,2,30,25,90.43446652667252,18,function_IEEE_30
144,run_2025-08-29_15-03-54,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,11,5,30,22,11,30,5,14,1,6,90.87278521924063,14,function_IEEE_30
145,run_2025-08-29_15-22-28,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,15,5,5,4,15,25,25,16,11,12,92.04388657092042,18,function_IEEE_30
