,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
369,run_2025-08-31_19-40-43,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,16,4,16,25,25,,,,,53.20440398238348,11,function_IEEE_14
260,run_2025-08-31_16-34-49,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,13,7,31,31,1,,,,,53.31155147821895,10,function_IEEE_14
205,run_2025-08-31_15-58-02,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,9,23,30,30,4,,,,,53.31155147821902,18,function_IEEE_14
276,run_2025-08-31_17-05-38,config_2,4,2,0.9,2,5,0.8,20,1,10,0.2,50,,26,5,26,13,19,,,,,53.48536225359513,16,function_IEEE_14
207,run_2025-08-31_15-58-02,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,23,30,12,12,18,,,,,53.6321883474438,11,function_IEEE_14
203,run_2025-08-31_15-58-02,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,0,30,11,11,17,,,,,53.63218834744382,-1,function_IEEE_14
320,run_2025-08-31_18-40-45,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,13,28,3,3,23,,,,,53.63218834744391,10,function_IEEE_14
285,run_2025-08-31_17-05-38,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,10,17,1,1,17,,,,,53.632188347444,3,function_IEEE_14
237,run_2025-08-31_16-04-07,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,15,16,5,5,22,,,,,53.63218834744401,10,function_IEEE_14
264,run_2025-08-31_16-34-49,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,21,1,21,1,13,,,,,53.7321975345943,10,function_IEEE_14
339,run_2025-08-31_19-10-42,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,3,4,11,11,19,,,,,53.78489562846027,14,function_IEEE_14
304,run_2025-08-31_18-40-45,config_2,4,2,0.9,2,5,0.8,20,1,10,0.2,50,,4,12,25,4,19,,,,,53.89148964378268,17,function_IEEE_14
228,run_2025-08-31_16-04-07,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,4,22,29,4,11,,,,,53.89148964378273,10,function_IEEE_14
343,run_2025-08-31_19-10-42,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,30,19,1,1,10,,,,,54.23333069333521,9,function_IEEE_14
