2025-08-17 04:57:47,820 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,272 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,648 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3-Medium.otf', name='Source Sans 3', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansKR-ExtraLight.otf', name='Source Han Sans KR', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/RobotoSlab-Bold.ttf', name='Roboto Slab', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSansNerdFont-Italic.ttf', name='Noto Sans Nerd Font', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/Z003-MediumItalic.otf', name='Z003', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3-MediumIt.otf', name='Source Sans 3', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSansNerdFont-Bold.ttf', name='Noto Sans Nerd Font', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/RobotoCondensed-BoldItalic.ttf', name='Roboto Condensed', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoMonoNerdFont-Black.ttf', name='Noto Mono Nerd Font', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-Black.ttf', name='Noto Serif', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMono-Bold.ttf', name='Noto Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusSansNarrow-BoldOblique.otf', name='Nimbus Sans Narrow', style='oblique', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSerifNerdFont-BlackItalic.ttf', name='Noto Serif Nerd Font', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSerifNerdFont-ThinItalic.ttf', name='Noto Serif Nerd Font', style='italic', variant='normal', weight=100, stretch='normal', size='scalable')) = 11.335
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMono-Black.ttf', name='Noto Sans Mono', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/URWBookman-DemiItalic.otf', name='URW Bookman', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansCN-Heavy.otf', name='Source Han Sans CN', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,209 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansJP-Medium.otf', name='Source Han Sans JP', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/RobotoSlab-Light.ttf', name='Roboto Slab', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusSansNarrow-Bold.otf', name='Nimbus Sans Narrow', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoMonoNerdFont-Bold.ttf', name='Noto Mono Nerd Font', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusSansNarrow-Oblique.otf', name='Nimbus Sans Narrow', style='oblique', variant='normal', weight=400, stretch='condensed', size='scalable')) = 11.25
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-Medium.ttf', name='Noto Serif', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Roboto-BlackItalic.ttf', name='Roboto', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSerifNerdFont-Black.ttf', name='Noto Serif Nerd Font', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSansBoldOblique.otf', name='FreeSans', style='oblique', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-Black.ttf', name='Lato', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3-Black.otf', name='Source Sans 3', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSerifBoldItalic.otf', name='FreeSerif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansCN-Light.otf', name='Source Han Sans CN', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-Bold.ttf', name='Lato', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,210 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-Italic.ttf', name='Noto Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
